Run,Iteration,Measure,Measure Name
3,1,-2600.526205394164,Social Surplus
3,2,-2227.2716001391236,Social Surplus
3,3,1121.1092189446367,Social Surplus
3,4,1055.599478990017,Social Surplus
3,5,1025.2975665330714,Social Surplus
3,6,902.5047732169133,Social Surplus
3,7,998.5752680697678,Social Surplus
3,8,1025.8671901479186,Social Surplus
3,9,1039.7816261424277,Social Surplus
4,0,-11412.212666677657,Social Surplus
4,1,-4386.098494458843,Social Surplus
4,2,102.73844361323222,Social Surplus
4,3,831.3385176144625,Social Surplus
4,4,1568.1573014924797,Social Surplus
4,5,1754.7139092251318,Social Surplus
4,6,1694.5721022659513,Social Surplus
4,7,1768.961769611023,Social Surplus
4,8,1642.5426005888407,Social Surplus
4,9,1533.5740129936912,Social Surplus
0,0,1803.8318140713995,Social Welfare
0,1,2090.1219372109445,Social Welfare
0,2,4898.332139324164,Social Welfare
0,3,5329.470809058605,Social Welfare
0,4,5261.493648096736,Social Welfare
0,5,5422.728061675814,Social Welfare
0,6,5386.830019197261,Social Welfare
0,7,5335.942557919383,Social Welfare
0,8,5348.307127082605,Social Welfare
0,9,5266.77749171566,Social Welfare
1,0,1807.0561992916896,Social Welfare
1,1,2315.169296351367,Social Welfare
1,2,4897.410678913702,Social Welfare
1,3,5140.3647710775385,Social Welfare
1,4,5203.934851747552,Social Welfare
1,5,5290.257685689321,Social Welfare
1,6,5277.033908502801,Social Welfare
1,7,5475.676360845899,Social Welfare
1,8,5276.9175999362105,Social Welfare
1,9,5387.998696422006,Social Welfare
2,0,2085.0751828717584,Social Welfare
2,1,2409.369611695884,Social Welfare
2,2,3419.410256267018,Social Welfare
2,3,4365.5153260452125,Social Welfare
2,4,5137.018557526421,Social Welfare
2,5,5263.166076600811,Social Welfare
2,6,5312.464549445495,Social Welfare
2,7,5270.619443725383,Social Welfare
2,8,5403.764086567482,Social Welfare
2,9,5363.208210608492,Social Welfare
3,0,1718.385126332766,Social Welfare
3,1,2899.1177967632875,Social Welfare
3,2,3311.8432770883646,Social Welfare
3,3,5281.482557996813,Social Welfare
3,4,5263.819138896367,Social Welfare
3,5,5337.618320225645,Social Welfare
3,6,5238.183005490651,Social Welfare
3,7,5300.89670189243,Social Welfare
3,8,5327.576892084745,Social Welfare
3,9,5297.40784201246,Social Welfare
4,0,1387.9884997687254,Social Welfare
4,1,2356.860131301354,Social Welfare
4,2,4547.079883766606,Social Welfare
4,3,4945.843122127515,Social Welfare
4,4,5200.4173855538975,Social Welfare
4,5,5235.995954385864,Social Welfare
4,6,5255.140190386315,Social Welfare
4,7,5305.824881985856,Social Welfare
4,8,5331.663038062463,Social Welfare
4,9,5458.962331548973,Social Welfare
