Run,Agent,Iteration,Underbid Regret
1,"Oracle, DM (search) 4",12,30.397000052111636
1,"Oracle, DM (search) 4",13,37.86315938917755
1,"Oracle, DM (search) 4",14,30.484853328745334
1,"Oracle, DM (search) 4",15,34.99283906963013
1,"Oracle, DM (search) 4",16,30.279907930327703
1,"Oracle, DM (search) 4",17,34.493034404895056
1,"Oracle, DM (search) 4",18,32.037056366176124
1,"Oracle, DM (search) 4",19,31.321327169268045
1,"Oracle, DM (search) 5",0,0.13885868678659039
1,"Oracle, DM (search) 5",1,41.41112060595458
1,"Oracle, DM (search) 5",2,43.582064836005344
1,"Oracle, DM (search) 5",3,34.990202323335424
1,"Oracle, DM (search) 5",4,34.55406525042756
1,"Oracle, DM (search) 5",5,30.184144891114684
1,"Oracle, DM (search) 5",6,32.301715734272165
1,"Oracle, DM (search) 5",7,28.630313705474002
1,"Oracle, DM (search) 5",8,27.9989059206909
1,"Oracle, DM (search) 5",9,24.596350742937652
1,"Oracle, DM (search) 5",10,27.513787773308394
1,"Oracle, DM (search) 5",11,26.302356508894967
1,"Oracle, DM (search) 5",12,27.226663621968004
1,"Oracle, DM (search) 5",13,28.642171595117713
1,"Oracle, DM (search) 5",14,25.15014813507935
1,"Oracle, DM (search) 5",15,27.257021736034105
1,"Oracle, DM (search) 5",16,29.99080746633672
1,"Oracle, DM (search) 5",17,25.43537179612612
1,"Oracle, DM (search) 5",18,27.14761662619503
1,"Oracle, DM (search) 5",19,25.065606804584164
1,"Oracle, DM (search) 6",0,0.061242343625770926
1,"Oracle, DM (search) 6",1,44.62408287982099
1,"Oracle, DM (search) 6",2,38.88584449657188
1,"Oracle, DM (search) 6",3,34.00564942972889
1,"Oracle, DM (search) 6",4,35.514672643843035
1,"Oracle, DM (search) 6",5,34.643820050139894
1,"Oracle, DM (search) 6",6,35.65741972281246
1,"Oracle, DM (search) 6",7,32.12081891326357
1,"Oracle, DM (search) 6",8,37.509172008155964
1,"Oracle, DM (search) 6",9,31.88315938790805
1,"Oracle, DM (search) 6",10,39.40499390099919
1,"Oracle, DM (search) 6",11,36.90341693738159
1,"Oracle, DM (search) 6",12,35.29737399720443
1,"Oracle, DM (search) 6",13,32.11677003352942
1,"Oracle, DM (search) 6",14,33.06568051339923
1,"Oracle, DM (search) 6",15,38.06862217208107
1,"Oracle, DM (search) 6",16,31.312845597622825
1,"Oracle, DM (search) 6",17,37.3220623042787
1,"Oracle, DM (search) 6",18,36.091049586397276
1,"Oracle, DM (search) 6",19,31.748474615814338
2,"Oracle, DM (search) 1",0,0.0572549899927057
2,"Oracle, DM (search) 1",1,32.70337603059493
2,"Oracle, DM (search) 1",2,33.00948726768614
2,"Oracle, DM (search) 1",3,32.09087405540377
2,"Oracle, DM (search) 1",4,27.973159939130984
2,"Oracle, DM (search) 1",5,26.867652338019187
2,"Oracle, DM (search) 1",6,21.493477277305097
2,"Oracle, DM (search) 1",7,29.017780321431328
2,"Oracle, DM (search) 1",8,22.11644390789038
2,"Oracle, DM (search) 1",9,28.884025853897494
2,"Oracle, DM (search) 1",10,22.185166463678698
2,"Oracle, DM (search) 1",11,28.06136676285469
2,"Oracle, DM (search) 1",12,24.899404071217937
2,"Oracle, DM (search) 1",13,27.90081806606856
2,"Oracle, DM (search) 1",14,23.59230780307699
2,"Oracle, DM (search) 1",15,22.98954742785292
2,"Oracle, DM (search) 1",16,21.274309622129564
2,"Oracle, DM (search) 1",17,24.758135584645355
2,"Oracle, DM (search) 1",18,19.67407509128204
2,"Oracle, DM (search) 1",19,29.19721860289265
2,"Oracle, DM (search) 2",0,0.1875457810990618
2,"Oracle, DM (search) 2",1,32.3409832702073
2,"Oracle, DM (search) 2",2,38.54589034040476
2,"Oracle, DM (search) 2",3,35.492673238153465
2,"Oracle, DM (search) 2",4,36.66730492539757
2,"Oracle, DM (search) 2",5,27.427656602499738
2,"Oracle, DM (search) 2",6,34.848760151386365
2,"Oracle, DM (search) 2",7,25.03312542021358
2,"Oracle, DM (search) 2",8,37.71493029488862
2,"Oracle, DM (search) 2",9,24.775195432900134
2,"Oracle, DM (search) 2",10,36.42241896460298
2,"Oracle, DM (search) 2",11,25.914267124991184
2,"Oracle, DM (search) 2",12,33.81881098765507
2,"Oracle, DM (search) 2",13,32.93479318426614
2,"Oracle, DM (search) 2",14,33.803413905039775
2,"Oracle, DM (search) 2",15,28.892948937142187
2,"Oracle, DM (search) 2",16,36.15088387704316
2,"Oracle, DM (search) 2",17,30.58795817042135
2,"Oracle, DM (search) 2",18,33.68701009296731
2,"Oracle, DM (search) 2",19,28.52438528076792
2,"Oracle, DM (search) 3",0,0.06345661540428635
2,"Oracle, DM (search) 3",1,47.156314798043546
2,"Oracle, DM (search) 3",2,47.53534132183001
2,"Oracle, DM (search) 3",3,44.01725854145877
2,"Oracle, DM (search) 3",4,39.058382140096384
2,"Oracle, DM (search) 3",5,32.314299793895145
2,"Oracle, DM (search) 3",6,32.602683345736665
2,"Oracle, DM (search) 3",7,30.91643878894883
2,"Oracle, DM (search) 3",8,37.03434208289574
2,"Oracle, DM (search) 3",9,27.044021184304913
2,"Oracle, DM (search) 3",10,36.68970473230492
2,"Oracle, DM (search) 3",11,28.10879633952662
2,"Oracle, DM (search) 3",12,33.115049643894096
2,"Oracle, DM (search) 3",13,26.666814281379036
2,"Oracle, DM (search) 3",14,35.78887102364449
2,"Oracle, DM (search) 3",15,27.55211237826991
2,"Oracle, DM (search) 3",16,32.51839538174599
2,"Oracle, DM (search) 3",17,29.493173222917275
2,"Oracle, DM (search) 3",18,32.66100878456456
2,"Oracle, DM (search) 3",19,29.293446661502813
2,"Oracle, DM (search) 4",0,0.18900472422623588
2,"Oracle, DM (search) 4",1,25.399970295292963
2,"Oracle, DM (search) 4",2,38.90210450446605
2,"Oracle, DM (search) 4",3,38.81089551611118
2,"Oracle, DM (search) 4",4,33.3027561006235
2,"Oracle, DM (search) 4",5,35.604394943607765
2,"Oracle, DM (search) 4",6,30.247975299212776
2,"Oracle, DM (search) 4",7,37.20993108696962
2,"Oracle, DM (search) 4",8,28.696029278433137
2,"Oracle, DM (search) 4",9,40.2485262973527
2,"Oracle, DM (search) 4",10,29.68272283593756
2,"Oracle, DM (search) 4",11,37.43724060506601
2,"Oracle, DM (search) 4",12,27.729286847651267
2,"Oracle, DM (search) 4",13,38.86953654230224
2,"Oracle, DM (search) 4",14,30.001092201065546
2,"Oracle, DM (search) 4",15,33.73794244270166
2,"Oracle, DM (search) 4",16,27.850600843043104
2,"Oracle, DM (search) 4",17,35.58017437212585
2,"Oracle, DM (search) 4",18,28.9569877337926
2,"Oracle, DM (search) 4",19,38.568500672855734
2,"Oracle, DM (search) 5",0,0.14897045934391967
2,"Oracle, DM (search) 5",1,41.78449170276474
2,"Oracle, DM (search) 5",2,42.18671773386956
2,"Oracle, DM (search) 5",3,32.84672258493993
2,"Oracle, DM (search) 5",4,32.18038325597251
2,"Oracle, DM (search) 5",5,33.134996756053056
2,"Oracle, DM (search) 5",6,26.284159578666127
2,"Oracle, DM (search) 5",7,30.34329807691444
2,"Oracle, DM (search) 5",8,29.16332661173464
2,"Oracle, DM (search) 5",9,32.72542098522129
2,"Oracle, DM (search) 5",10,27.393857848128498
2,"Oracle, DM (search) 5",11,25.33525138866842
2,"Oracle, DM (search) 5",12,30.082059929253184
2,"Oracle, DM (search) 5",13,22.110669843072856
2,"Oracle, DM (search) 5",14,31.306492625365426
2,"Oracle, DM (search) 5",15,26.389674538647288
2,"Oracle, DM (search) 5",16,24.35699754420061
2,"Oracle, DM (search) 5",17,29.487509567051315
2,"Oracle, DM (search) 5",18,26.385168870453672
2,"Oracle, DM (search) 5",19,22.82162593662511
2,"Oracle, DM (search) 6",0,0.1486598505129918
2,"Oracle, DM (search) 6",1,34.64422701327683
2,"Oracle, DM (search) 6",2,41.98307950777162
2,"Oracle, DM (search) 6",3,36.493869798273984
2,"Oracle, DM (search) 6",4,35.014364190502164
2,"Oracle, DM (search) 6",5,36.66334096970716
2,"Oracle, DM (search) 6",6,35.03668278232475
2,"Oracle, DM (search) 6",7,34.474845775655425
2,"Oracle, DM (search) 6",8,35.94590011845401
2,"Oracle, DM (search) 6",9,35.69242888019454
2,"Oracle, DM (search) 6",10,34.11691614162952
2,"Oracle, DM (search) 6",11,33.88012678072401
2,"Oracle, DM (search) 6",12,39.333837426822036
2,"Oracle, DM (search) 6",13,32.55982635734154
2,"Oracle, DM (search) 6",14,35.51196258675657
2,"Oracle, DM (search) 6",15,37.52728040303815
2,"Oracle, DM (search) 6",16,38.666608845199974
2,"Oracle, DM (search) 6",17,36.83025150469475
2,"Oracle, DM (search) 6",18,37.56732902784676
2,"Oracle, DM (search) 6",19,35.20087822947579
