Run,Agent,Iteration,Gross Utility
0,Truthful Learnt 4,17,1368.2116037233866
0,Truthful Learnt 4,18,1387.1266796520156
0,Truthful Learnt 4,19,1357.9285951441739
1,Truthful Learnt 4,0,625.3031522376538
1,Truthful Learnt 4,1,829.474179074779
1,Truthful Learnt 4,2,1180.5786926093897
1,Truthful Learnt 4,3,1202.6542301631705
1,Truthful Learnt 4,4,1169.6319139674467
1,Truthful Learnt 4,5,1296.3986584589948
1,Truthful Learnt 4,6,1360.9966167591529
1,Truthful Learnt 4,7,1352.2419280845038
1,Truthful Learnt 4,8,1389.5166175501847
1,Truthful Learnt 4,9,1362.6116126309419
1,Truthful Learnt 4,10,1322.1969701049384
1,Truthful Learnt 4,11,1300.796772581827
1,Truthful Learnt 4,12,1276.3888992810578
1,Truthful Learnt 4,13,1254.978804180118
1,Truthful Learnt 4,14,1287.863322331984
1,Truthful Learnt 4,15,1305.9357185975155
1,Truthful Learnt 4,16,1370.6935228627071
1,Truthful Learnt 4,17,1287.3992503045495
1,Truthful Learnt 4,18,1392.865330201649
1,Truthful Learnt 4,19,1383.3424920353223
2,Truthful Learnt 4,0,345.91758189132884
2,Truthful Learnt 4,1,625.243287337968
2,Truthful Learnt 4,2,1175.4685390690395
2,Truthful Learnt 4,3,1301.634868457738
2,Truthful Learnt 4,4,1427.1294793523903
2,Truthful Learnt 4,5,1404.1285467742614
2,Truthful Learnt 4,6,1436.0995796940445
2,Truthful Learnt 4,7,1384.5407329654531
2,Truthful Learnt 4,8,1429.0479141581225
2,Truthful Learnt 4,9,1396.7303068760352
2,Truthful Learnt 4,10,1378.531089621405
2,Truthful Learnt 4,11,1352.9223238124682
2,Truthful Learnt 4,12,1391.208499730569
2,Truthful Learnt 4,13,1472.948161647707
2,Truthful Learnt 4,14,1361.7306733676455
2,Truthful Learnt 4,15,1391.8269508966655
2,Truthful Learnt 4,16,1387.371554288962
2,Truthful Learnt 4,17,1448.4560458212238
2,Truthful Learnt 4,18,1456.2657438945687
2,Truthful Learnt 4,19,1430.250208077328
